"Rank","Player","Team","Bye","POS","AVG"
"1","Christian McCaffrey","SF","9","RB1","1.0"
"2","CeeDee Lamb","DAL","7","WR1","2.0"
"3","Tyreek Hill","MIA","6","WR2","3.0"
"4","Ja'Marr Chase","CIN","12","WR3","5.0"
"5","Justin Jefferson","MIN","6","WR4","5.3"
"6","Breece Hall","NYJ","12","RB2","6.3"
"7","Bijan Robinson","ATL","12","RB3","6.3"
"8","Amon-Ra St. Brown","DET","5","WR5","7.3"
"9","A.J. Brown","PHI","5","WR6","9.0"
"10","Puka Nacua","LAR","6","WR7","9.7"
"11","Garrett Wilson","NYJ","12","WR8","12.0"
"12","Jonathan Taylor","IND","14","RB4","13.3"
"13","Jahmyr Gibbs","DET","5","RB5","13.3"
"14","Saquon Barkley","PHI","5","RB6","15.3"
"15","Davante Adams","LV","10","WR9","16.3"
"16","Marvin Harrison Jr.","ARI","11","WR10","16.7"
"17","Chris Olave","NO","12","WR11","20.0"
"18","Drake London","ATL","12","WR12","20.7"
"19","Nico Collins","HOU","14","WR13","21.3"
"20","Kyren Williams","LAR","6","RB7","22.0"
"21","De'Von Achane","MIA","6","RB8","22.7"
"22","Deebo Samuel Sr.","SF","9","WR14","24.7"
"23","Josh Allen","BUF","12","QB1","26.0"
"24","Travis Etienne Jr.","JAC","12","RB9","26.7"
"25","Derrick Henry","BAL","14","RB10","26.7"
"26","Sam LaPorta","DET","5","TE1","28.3"
"27","Brandon Aiyuk","SF","9","WR15","28.3"
"28","Jaylen Waddle","MIA","6","WR16","29.0"
"29","Mike Evans","TB","11","WR17","30.0"
"30","Michael Pittman Jr.","IND","14","WR18","31.3"
"31","Jalen Hurts","PHI","5","QB2","32.7"
"32","DJ Moore","CHI","7","WR19","32.7"
"33","Cooper Kupp","LAR","6","WR20","33.0"
"34","Travis Kelce","KC","6","TE2","33.7"
"35","DK Metcalf","SEA","10","WR21","34.0"
"36","Stefon Diggs","HOU","14","WR22","34.0"
"37","DeVonta Smith","PHI","5","WR23","35.3"
"38","Isiah Pacheco","KC","6","RB11","35.7"
"39","Josh Jacobs","GB","10","RB12","40.0"
"40","Patrick Mahomes II","KC","6","QB3","40.7"
"41","Lamar Jackson","BAL","14","QB4","40.7"
"42","Malik Nabers","NYG","11","WR24","43.7"
"43","Rachaad White","TB","11","RB13","44.7"
"44","Trey McBride","ARI","11","TE3","46.0"
"45","Zay Flowers","BAL","14","WR25","46.7"
"46","Amari Cooper","CLE","10","WR26","46.7"
"47","James Cook","BUF","12","RB14","47.0"
"48","George Pickens","PIT","9","WR27","51.0"
"49","Mark Andrews","BAL","14","TE4","51.3"
"50","Tee Higgins","CIN","12","WR28","52.7"
"51","Joe Mixon","HOU","14","RB15","53.3"
"52","Dalton Kincaid","BUF","12","TE5","53.7"
"53","Anthony Richardson","IND","14","QB5","54.3"
"54","Tank Dell","HOU","14","WR29","55.0"
"55","Kenneth Walker III","SEA","10","RB16","55.7"
"56","Christian Kirk","JAC","12","WR30","56.7"
"57","C.J. Stroud","HOU","14","QB6","56.7"
"58","Alvin Kamara","NO","12","RB17","57.3"
"59","Keenan Allen","CHI","7","WR31","58.0"
"60","Terry McLaurin","WAS","14","WR32","59.7"
"61","Kyle Pitts","ATL","12","TE6","62.3"
"62","Chris Godwin","TB","11","WR33","64.3"
"63","Jayden Reed","GB","10","WR34","65.7"
"64","Rhamondre Stevenson","NE","14","RB18","66.0"
"65","Calvin Ridley","TEN","5","WR35","66.3"
"66","Aaron Jones","MIN","6","RB19","67.7"
"67","Hollywood Brown","KC","6","WR36","69.0"
"68","Evan Engram","JAC","12","TE7","69.7"
"69","Najee Harris","PIT","9","RB20","71.3"
"70","Joe Burrow","CIN","12","QB7","72.3"
"71","Dak Prescott","DAL","7","QB8","72.7"
"72","Kyler Murray","ARI","11","QB9","73.0"
"73","George Kittle","SF","9","TE8","73.3"
"74","Rashee Rice","KC","6","WR37","74.0"
"75","D'Andre Swift","CHI","7","RB21","75.0"
"76","David Montgomery","DET","5","RB22","75.0"
"77","Jordan Love","GB","10","QB10","75.3"
"78","DeAndre Hopkins","TEN","5","WR38","75.7"
"79","Diontae Johnson","CAR","11","WR39","76.3"
"80","Zamir White","LV","10","RB23","77.7"
"81","James Conner","ARI","11","RB24","78.7"
"82","Christian Watson","GB","10","WR40","82.7"
"83","Jordan Addison","MIN","6","WR41","85.0"
"84","Jaylen Warren","PIT","9","RB25","85.3"
"85","Zack Moss","CIN","12","RB26","86.3"
"86","Ladd McConkey","LAC","5","WR42","88.7"
"87","Jonathon Brooks","CAR","11","RB27","89.0"
"88","Jake Ferguson","DAL","7","TE9","89.0"
"89","Raheem Mostert","MIA","6","RB28","90.0"
"90","Tony Pollard","TEN","5","RB29","91.3"
"91","Jaxon Smith-Njigba","SEA","10","WR43","92.7"
"92","Xavier Worthy","KC","6","WR44","93.0"
"93","Brock Purdy","SF","9","QB11","94.0"
"94","David Njoku","CLE","10","TE10","95.7"
"95","Rome Odunze","CHI","7","WR45","96.3"
"96","Javonte Williams","DEN","14","RB30","97.3"
"97","Jayden Daniels","WAS","14","QB12","98.3"
"98","Austin Ekeler","WAS","14","RB31","98.7"
"99","Devin Singletary","NYG","11","RB32","99.3"
"100","Brian Robinson Jr.","WAS","14","RB33","101.0"
"101","Courtland Sutton","DEN","14","WR46","101.7"
"102","Keon Coleman","BUF","12","WR47","102.0"
"103","Brian Thomas Jr.","JAC","12","WR48","102.3"
"104","Brock Bowers","LV","10","TE11","102.3"
"105","Tyjae Spears","TEN","5","RB34","102.7"
"106","Jared Goff","DET","5","QB13","103.7"
"107","Jameson Williams","DET","5","WR49","104.3"
